"","ETH.group","tot_births","mbirths","fbirths","year"
"166","PAK",43346.5301951384,22201.8813194611,21144.6488756773,"2024"
"167","WBI",480298.30888859,246006.450894156,234291.857994434,"2024"
"168","WHO",39180.9475201496,20068.2901932473,19112.6573269022,"2024"
"169","BAN",16864.7433273222,8638.03926521383,8226.70406210841,"2025"
"170","BLA",29373.0151507547,15044.7150772158,14328.3000735389,"2025"
"171","BLC",6532.80606529914,3346.07139929956,3186.73466599958,"2025"
"172","CHI",8497.65213819113,4352.45597321985,4145.19616497128,"2025"
"173","IND",30955.5707673743,15855.2923442649,15100.2784231094,"2025"
"174","MIX",46758.5031355134,23949.4772157508,22809.0259197626,"2025"
"175","OAS",18267.9208832904,9356.73996461214,8911.18091867823,"2025"
"176","OBL",5263.27298651924,2695.82274919278,2567.45023732646,"2025"
"177","OTH",6597.23725386686,3379.07273978547,3218.1645140814,"2025"
"178","PAK",44296.930397649,22688.6716670885,21608.2587305605,"2025"
"179","WBI",477879.236807685,244767.413974668,233111.822833017,"2025"
"180","WHO",39598.7363503509,20282.2795940822,19316.4567562687,"2025"
"181","BAN",17159.1853693013,8788.85104281288,8370.33432648846,"2026"
"182","BLA",30031.1972689105,15381.8327474907,14649.3645214198,"2026"
"183","BLC",6561.86120910727,3360.95330222567,3200.90790688159,"2026"
"184","CHI",8479.9976540292,4343.41343255154,4136.58422147766,"2026"
"185","IND",31161.4018351998,15960.7180131511,15200.6838220487,"2026"
"186","MIX",47386.2564372004,24271.0093946636,23115.2470425368,"2026"
"187","OAS",18589.4785820321,9521.4402493335,9068.03833269857,"2026"
"188","OBL",5398.17802537059,2764.92045201908,2633.25757335151,"2026"
"189","OTH",6717.31176882925,3440.57432061986,3276.73744820939,"2026"
"190","PAK",45266.920375555,23185.4958021135,22081.4245734414,"2026"
"191","WBI",475879.469032609,243743.142675239,232136.32635737,"2026"
"192","WHO",39996.4181698926,20485.9702821401,19510.4478877525,"2026"
"193","BAN",17460.2948010687,8943.07782493763,8517.21697613107,"2027"
"194","BLA",30695.7900494771,15722.2339277809,14973.5561216961,"2027"
"195","BLC",6595.29787135332,3378.07939752243,3217.21847383089,"2027"
"196","CHI",8444.09817125569,4325.02589259438,4119.07227866131,"2027"
"197","IND",31411.6116879521,16088.874279195,15322.7374087571,"2027"
"198","MIX",48062.2604441876,24617.2553494619,23445.0050947256,"2027"
"199","OAS",18917.1232689284,9689.25825969503,9227.86500923336,"2027"
"200","OBL",5534.37305904672,2834.67888390198,2699.69417514474,"2027"
"201","OTH",6838.67059603696,3502.73371992137,3335.93687611559,"2027"
"202","PAK",46281.2038555498,23705.0068528426,22576.1970027072,"2027"
"203","WBI",474588.007944087,243081.662605508,231506.345338579,"2027"
"204","WHO",40395.5093670527,20690.3828465392,19705.1265205135,"2027"
"205","BAN",17752.7521763236,9092.87306592184,8659.87911040175,"2028"
"206","BLA",31327.0104326278,16045.5419289069,15281.4685037209,"2028"
"207","BLC",6625.33672424136,3393.4651514407,3231.87157280066,"2028"
"208","CHI",8387.89278597885,4296.23776842819,4091.65501755066,"2028"
"209","IND",31679.5752784176,16226.123923092,15453.4513553257,"2028"
"210","MIX",48733.2677356019,24960.9420109181,23772.3257246839,"2028"
"211","OAS",19230.6003159838,9849.81967404047,9380.7806419433,"2028"
"212","OBL",5662.87636854328,2900.4976521807,2762.37871636257,"2028"
"213","OTH",6952.035766808,3560.79880738946,3391.23695941853,"2028"
"214","PAK",47290.8101705504,24222.122282477,23068.6878880733,"2028"
"215","WBI",473497.963424531,242523.347119882,230974.616304649,"2028"
"216","WHO",40755.674851352,20874.8578506925,19880.8170006595,"2028"
"217","BAN",18039.6087054456,9239.799580838,8799.80912460762,"2029"
"218","BLA",31926.9890168748,16352.8480330334,15574.1409838413,"2029"
"219","BLC",6652.93495825495,3407.60083227692,3245.33412597802,"2029"
"220","CHI",8317.67207034891,4260.27106042261,4057.4010099263,"2029"
"221","IND",31980.0082751472,16380.00423849,15600.0040366572,"2029"
"222","MIX",49404.1844105434,25304.5822590588,24099.6021514846,"2029"
"223","OAS",19533.6696157671,10005.0502910027,9528.61932476444,"2029"
"224","OBL",5781.81049913619,2961.4151337039,2820.39536543229,"2029"
"225","OTH",7055.89758187723,3613.99632242492,3441.90125945231,"2029"
"226","PAK",48313.1324902136,24745.7507876704,23567.3817025432,"2029"
"227","WBI",472723.949691832,242126.90106167,230597.048630162,"2029"
"228","WHO",41087.1567413519,21044.6412577656,20042.5154835863,"2029"
"229","BAN",18322.2890857199,9384.58709268579,8937.70199303409,"2030"
"230","BLA",32495.1911090637,16643.8783729351,15851.3127361286,"2030"
"231","BLC",6679.36160560018,3421.13643213668,3258.2251734635,"2030"
"232","CHI",8236.63739275912,4218.76549385223,4017.87189890689,"2030"
"233","IND",32316.9221175775,16552.5698651007,15764.3522524768,"2030"
"234","MIX",50068.1931258849,25644.6842839898,24423.5088418951,"2030"
"235","OAS",19825.870176872,10154.713993032,9671.15618384,"2030"
"236","OBL",5888.95550649032,3016.29428381211,2872.6612226782,"2030"
"237","OTH",7147.34865910526,3660.8371180783,3486.51154102696,"2030"
"238","PAK",49358.7068567504,25281.2888778478,24077.4179789026,"2030"
"239","WBI",472278.28294518,241898.632728019,230379.650217161,"2030"
"240","WHO",41389.1167057744,21199.3036785674,20189.813027207,"2030"
"241","BAN",18596.5811604691,9525.07815536222,9071.50300510688,"2031"
"242","BLA",33022.3314910743,16913.8771051844,16108.4543858899,"2031"
"243","BLC",6702.89727889476,3433.19128919,3269.70598970476,"2031"
"244","CHI",8146.79735625856,4172.74986540073,3974.04749085784,"2031"
"245","IND",32682.5971275771,16739.8668214419,15942.7303061352,"2031"
"246","MIX",50702.2665201544,25969.4535834937,24732.8129366607,"2031"
