"","ETH.group","agegrp","sex","deaths","year"
"330","OBL","[85,90)","M",16.7995125879453,"2011"
"331","OBL","[90,95)","F",11.1660835544173,"2011"
"332","OBL","[90,95)","M",10.5842608382299,"2011"
"333","OBL","[95,100)","F",5.30749324969325,"2011"
"334","OBL","[95,100)","M",5.52761554932063,"2011"
"335","OBL","[100,105)","F",1.46773789564499,"2011"
"336","OBL","[100,105)","M",0.826792020335345,"2011"
"337","OTH","[0,5)","F",10.618567155598,"2011"
"338","OTH","[0,5)","M",13.1740527501038,"2011"
"339","OTH","[5,10)","F",2.11545949979524,"2011"
"340","OTH","[5,10)","M",2.763431246116,"2011"
"341","OTH","[10,15)","F",2.04497523291514,"2011"
"342","OTH","[10,15)","M",2.43353879555476,"2011"
"343","OTH","[15,20)","F",2.63794766707385,"2011"
"344","OTH","[15,20)","M",6.36671153972535,"2011"
"345","OTH","[20,25)","F",3.62018890994542,"2011"
"346","OTH","[20,25)","M",11.0808477621878,"2011"
"347","OTH","[25,30)","F",5.42689850961387,"2011"
"348","OTH","[25,30)","M",15.9539438445357,"2011"
"349","OTH","[30,35)","F",9.60574131754021,"2011"
"350","OTH","[30,35)","M",24.8697339992753,"2011"
"351","OTH","[35,40)","F",11.7768436911185,"2011"
"352","OTH","[35,40)","M",32.5630155864402,"2011"
"353","OTH","[40,45)","F",18.4699238702455,"2011"
"354","OTH","[40,45)","M",41.8178631941206,"2011"
"355","OTH","[45,50)","F",23.5931670192928,"2011"
"356","OTH","[45,50)","M",51.0902056352642,"2011"
"357","OTH","[50,55)","F",28.5876258617983,"2011"
"358","OTH","[50,55)","M",60.9813712068579,"2011"
"359","OTH","[55,60)","F",35.4896945879984,"2011"
"360","OTH","[55,60)","M",73.623814642614,"2011"
"361","OTH","[60,65)","F",40.461290249124,"2011"
"362","OTH","[60,65)","M",78.5678909002571,"2011"
"363","OTH","[65,70)","F",45.3240048227875,"2011"
"364","OTH","[65,70)","M",80.8160021861562,"2011"
"365","OTH","[70,75)","F",53.6387643229004,"2011"
"366","OTH","[70,75)","M",89.3809046174541,"2011"
"367","OTH","[75,80)","F",68.9025197007805,"2011"
"368","OTH","[75,80)","M",93.9024002486138,"2011"
"369","OTH","[80,85)","F",79.9839500754483,"2011"
"370","OTH","[80,85)","M",97.2323264744118,"2011"
"371","OTH","[85,90)","F",67.7352711628314,"2011"
"372","OTH","[85,90)","M",67.6350702994788,"2011"
"373","OTH","[90,95)","F",38.8939543155686,"2011"
"374","OTH","[90,95)","M",33.6109617842425,"2011"
"375","OTH","[95,100)","F",21.6343412995756,"2011"
"376","OTH","[95,100)","M",17.1924645949758,"2011"
